,No.,SAMPLE_ID,식품명,1회제공량(g),에너지(Kcal),단백질(g),지방(g),탄수화물(g),총당류(g),나트륨(mg)
64,65,D000222-107-AVG,비빔밥,450,691.62,24.6,22.0,98.7,18.3,1119.66
65,66,D000223-ZZ-AVG,삼선볶음밥,400,686.108,26.237,26.461,85.754,1.582,1213.562
66,67,D000225-ZZ-AVG,새우초밥,250,387.671,16.804,0.752,78.422,11.654,1110.293
67,68,D000227-ZZ-AVG,샐러드김밥,250,405.948,9.616,13.52,61.451,3.422,911.177
68,69,D000228-ZZ-AVG,생선초밥(광어),300,453.777,27.069,3.923,77.547,7.701,808.75
69,70,D000229-ZZ-AVG,생선초밥(모듬),300,461.966,25.423,6.061,76.431,8.649,968.94
70,71,D000230-ZZ-AVG,소고기국밥,700,330.53,21.8,8.1,42.6,2.8,1786.31
71,72,D000231-ZZ-AVG,소고기김밥,250,400.609,15.978,9.625,62.518,0.837,1061.187
72,73,D000232-ZZ-AVG,송이덮밥,600,581.806,18.214,14.06,95.601,2.268,1678.009
73,74,D000233-ZZ-AVG,숯불갈비 삼각김밥,100,161.243,3.998,1.674,32.547,0.165,358.362
74,75,D000235-117-AVG,약초비빔밥,400,511.8,11.9,15.9,80.2,2.9,971.61
75,76,D000237-ZZ-AVG,연어초밥,250,447.318,18.883,9.738,71.037,12.882,1064.385
76,77,D000238-ZZ-AVG,오곡밥,250,388.816,11.952,1.303,82.321,0.174,113.895
77,78,D000243-ZZ-AVG,자장밥,500,741.66,15.236,22.277,120.057,5.369,1560.381
78,79,D000245-ZZ-AVG,잡탕밥,750,777.439,44.12,20.135,104.937,0.481,2109.517
79,80,D000246-ZZ-AVG,장어덮밥,400,716.541,30.088,22.976,97.351,5.586,920.765
80,81,D000247-ZZ-AVG,장어초밥,250,486.26,16.52,10.828,80.681,13.674,1270.911
81,82,D000251-ZZ-AVG,참치덮밥,500,679.101,29.201,16.73,102.931,2.983,1618.745
82,83,D000252-ZZ-AVG,참치마요네즈 삼각김밥,100,172.397,3.941,3.202,31.953,0.022,282.103
83,84,D000253-ZZ-AVG,충무김밥,400,583.926,23.425,5.956,109.156,17.189,1294.268
84,85,D000258-ZZ-AVG,한치초밥,250,374.18,13.712,0.848,77.923,13.13,1199.31
85,86,D000259-ZZ-AVG,해물덮밥,700,771.933,42.037,22.443,100.449,1.194,1802.681
86,87,D000260-ZZ-AVG,해물볶음밥,400,705.217,25.105,26.996,90.459,1.222,1074.349
87,88,D000261-ZZ-AVG,회덮밥,500,683.018,30.21,16.553,103.3,10.925,744.27
